sexe_annee_dpt,annee,top,cla_age_5,sexe,region,dept,Ntop,Npop,prev,Niveau prioritaire,tri
2_2022_13,2022,TPS_ADR_EXC,20-24,2,93,13,1340,64810,2.071,2,3,52
9_2022_13,2022,TPS_ADR_EXC,35-39,9,93,13,4970,140960,3.522,2,3,52
2_2022_13,2022,TPS_ADR_EXC,40-44,2,93,13,4550,72090,6.309,2,3,52
9_2022_13,2022,TPS_ADR_EXC,50-54,9,93,13,10200,144560,7.057,2,3,52
1_2022_13,2022,TPS_ADR_EXC,60-64,1,93,13,3520,61010,5.763,2,3,52
2_2022_13,2022,TPS_ADR_EXC,60-64,2,93,13,7120,65550,10.863,2,3,52
1_2022_13,2022,TPS_ADR_EXC,65-69,1,93,13,2690,53250,5.044,2,3,52
1_2022_13,2022,TPS_ADR_EXC,70-74,1,93,13,2740,49180,5.565,2,3,52
9_2022_13,2022,TPS_ADR_EXC,70-74,9,93,13,9070,107240,8.453,2,3,52
2_2022_13,2022,TPS_ADR_EXC,80-84,2,93,13,5330,34000,15.671,2,3,52
2_2022_13,2022,TPS_ADR_EXC,85-89,2,93,13,4930,27090,18.183,2,3,52
9_2022_13,2022,TPS_ADR_EXC,90-94,9,93,13,4580,24740,18.508,2,3,52
9_2022_13,2022,TPS_ADR_EXC,95et+,9,93,13,1840,9470,19.415,2,3,52
1_2022_13,2022,TPS_ADR_EXC,tsage,1,93,13,33810,1055280,3.204,2,3,52
9_2022_13,2022,TPS_ADR_EXC,tsage,9,93,13,109490,2183510,5.014,2,3,52
2_2022_13,2022,TPS_ADR_EXC,00-04,2,93,13,0,57940,0,2,3,52
9_2022_13,2022,TPS_ADR_EXC,00-04,9,93,13,0,119280,0,2,3,52
2_2021_13,2021,TPS_ADR_EXC,10-14,2,93,13,50,62930,0.086,2,3,52
9_2021_13,2021,TPS_ADR_EXC,10-14,9,93,13,80,128820,0.065,2,3,52
2_2021_13,2021,TPS_ADR_EXC,15-19,2,93,13,480,60480,0.792,2,3,52
9_2021_13,2021,TPS_ADR_EXC,20-24,9,93,13,1630,128490,1.268,2,3,52
1_2021_13,2021,TPS_ADR_EXC,25-29,1,93,13,860,65950,1.299,2,3,52
2_2021_13,2021,TPS_ADR_EXC,25-29,2,93,13,1520,67740,2.244,2,3,52
9_2021_13,2021,TPS_ADR_EXC,25-29,9,93,13,2380,133700,1.778,2,3,52
2_2021_13,2021,TPS_ADR_EXC,30-34,2,93,13,2290,72200,3.166,2,3,52
1_2021_13,2021,TPS_ADR_EXC,35-39,1,93,13,1590,69310,2.291,2,3,52
9_2021_13,2021,TPS_ADR_EXC,35-39,9,93,13,4700,141260,3.33,2,3,52
1_2021_13,2021,TPS_ADR_EXC,40-44,1,93,13,2180,68600,3.176,2,3,52
9_2021_13,2021,TPS_ADR_EXC,40-44,9,93,13,6600,139370,4.734,2,3,52
1_2021_13,2021,TPS_ADR_EXC,45-49,1,93,13,2560,68880,3.711,2,3,52
9_2021_13,2021,TPS_ADR_EXC,55-59,9,93,13,11430,141440,8.082,2,3,52
2_2021_13,2021,TPS_ADR_EXC,60-64,2,93,13,6970,65590,10.622,2,3,52
9_2021_13,2021,TPS_ADR_EXC,60-64,9,93,13,10280,126340,8.137,2,3,52
1_2021_13,2021,TPS_ADR_EXC,70-74,1,93,13,2710,49770,5.441,2,3,52
2_2021_13,2021,TPS_ADR_EXC,75-79,2,93,13,5750,45280,12.694,2,3,52
9_2021_13,2021,TPS_ADR_EXC,80-84,9,93,13,7030,58080,12.106,2,3,52
1_2021_13,2021,TPS_ADR_EXC,85-89,1,93,13,1800,16470,10.91,2,3,52
1_2021_13,2021,TPS_ADR_EXC,90-94,1,93,13,950,7530,12.611,2,3,52
2_2021_13,2021,TPS_ADR_EXC,tsage,2,93,13,72570,1120030,6.479,2,3,52
9_2021_13,2021,TPS_ADR_EXC,tsage,9,93,13,104770,2173770,4.82,2,3,52
1_2016_13,2016,TPS_ADR_EXC,00-04,1,93,13,0,63420,0,2,3,52
2_2016_13,2016,TPS_ADR_EXC,05-09,2,93,13,0,60660,0,2,3,52
2_2016_13,2016,TPS_ADR_EXC,15-19,2,93,13,240,56790,0.417,2,3,52
1_2016_13,2016,TPS_ADR_EXC,20-24,1,93,13,400,53740,0.742,2,3,52
9_2016_13,2016,TPS_ADR_EXC,20-24,9,93,13,1050,112890,0.926,2,3,52
2_2016_13,2016,TPS_ADR_EXC,25-29,2,93,13,1290,66430,1.945,2,3,52
9_2016_13,2016,TPS_ADR_EXC,25-29,9,93,13,1980,124950,1.586,2,3,52
1_2016_13,2016,TPS_ADR_EXC,30-34,1,93,13,1120,60870,1.835,2,3,52
1_2016_13,2016,TPS_ADR_EXC,40-44,1,93,13,2070,63490,3.256,2,3,52
2_2016_13,2016,TPS_ADR_EXC,40-44,2,93,13,4470,67810,6.592,2,3,52
2_2016_13,2016,TPS_ADR_EXC,45-49,2,93,13,5810,71450,8.132,2,3,52
2_2016_13,2016,TPS_ADR_EXC,50-54,2,93,13,6970,72450,9.623,2,3,52
1_2016_13,2016,TPS_ADR_EXC,55-59,1,93,13,3630,62080,5.839,2,3,52
9_2016_13,2016,TPS_ADR_EXC,60-64,9,93,13,9690,119080,8.133,2,3,52
1_2016_13,2016,TPS_ADR_EXC,65-69,1,93,13,2420,54100,4.466,2,3,52
1_2016_13,2016,TPS_ADR_EXC,70-74,1,93,13,2140,41890,5.106,2,3,52
1_2016_13,2016,TPS_ADR_EXC,75-79,1,93,13,1890,30460,6.214,2,3,52
1_2016_13,2016,TPS_ADR_EXC,80-84,1,93,13,1950,24060,8.102,2,3,52
9_2016_13,2016,TPS_ADR_EXC,80-84,9,93,13,6720,58680,11.455,2,3,52
1_2016_13,2016,TPS_ADR_EXC,85-89,1,93,13,1560,15010,10.378,2,3,52
9_2016_13,2016,TPS_ADR_EXC,90-94,9,93,13,3680,21810,16.865,2,3,52
9_2016_13,2016,TPS_ADR_EXC,95et+,9,93,13,1240,7140,17.416,2,3,52
1_2016_13,2016,TPS_ADR_EXC,tsage,1,93,13,29770,969230,3.071,2,3,52
1_2018_13,2018,TPS_ADR_EXC,10-14,1,93,13,10,61850,0.019,2,3,52
2_2018_13,2018,TPS_ADR_EXC,10-14,2,93,13,20,59370,0.034,2,3,52
2_2018_13,2018,TPS_ADR_EXC,15-19,2,93,13,260,57670,0.446,2,3,52
9_2018_13,2018,TPS_ADR_EXC,20-24,9,93,13,1110,114610,0.972,2,3,52
2_2018_13,2018,TPS_ADR_EXC,25-29,2,93,13,1230,66060,1.867,2,3,52
1_2018_13,2018,TPS_ADR_EXC,30-34,1,93,13,1080,61940,1.74,2,3,52
2_2018_13,2018,TPS_ADR_EXC,30-34,2,93,13,2130,69760,3.055,2,3,52
9_2018_13,2018,TPS_ADR_EXC,30-34,9,93,13,3210,131690,2.437,2,3,52
9_2018_13,2018,TPS_ADR_EXC,35-39,9,93,13,4880,133460,3.658,2,3,52
2_2018_13,2018,TPS_ADR_EXC,45-49,2,93,13,5720,72860,7.855,2,3,52
9_2018_13,2018,TPS_ADR_EXC,45-49,9,93,13,8500,141200,6.021,2,3,52
2_2018_13,2018,TPS_ADR_EXC,50-54,2,93,13,6790,72910,9.311,2,3,52
9_2018_13,2018,TPS_ADR_EXC,50-54,9,93,13,10070,141010,7.138,2,3,52
1_2018_13,2018,TPS_ADR_EXC,55-59,1,93,13,3690,63560,5.799,2,3,52
9_2018_13,2018,TPS_ADR_EXC,70-74,9,93,13,7690,99820,7.7,2,3,52
1_2018_13,2018,TPS_ADR_EXC,75-79,1,93,13,2070,32920,6.276,2,3,52
2_2018_13,2018,TPS_ADR_EXC,80-84,2,93,13,4670,33780,13.81,2,3,52
9_2018_13,2018,TPS_ADR_EXC,80-84,9,93,13,6600,58120,11.358,2,3,52
1_2018_13,2018,TPS_ADR_EXC,85-89,1,93,13,1760,15750,11.148,2,3,52
9_2018_13,2018,TPS_ADR_EXC,90-94,9,93,13,3840,22710,16.887,2,3,52
9_2018_13,2018,TPS_ADR_EXC,95et+,9,93,13,1550,8550,18.15,2,3,52
1_2018_13,2018,TPS_ADR_EXC,tsage,1,93,13,30620,986370,3.105,2,3,52
1_2018_13,2018,TPS_ADR_EXC,00-04,1,93,13,0,63190,0,2,3,52
1_2018_13,2018,TPS_ADR_EXC,05-09,1,93,13,0,64680,0,2,3,52
2_2018_13,2018,TPS_ADR_EXC,05-09,2,93,13,0,61680,0,2,3,52
2_2019_13,2019,TPS_ADR_EXC,05-09,2,93,13,0,61800,0,2,3,52
2_2019_13,2019,TPS_ADR_EXC,10-14,2,93,13,20,60030,0.028,2,3,52
2_2019_13,2019,TPS_ADR_EXC,15-19,2,93,13,280,57910,0.484,2,3,52
2_2019_13,2019,TPS_ADR_EXC,30-34,2,93,13,2080,70450,2.945,2,3,52
1_2019_13,2019,TPS_ADR_EXC,35-39,1,93,13,1610,63140,2.556,2,3,52
2_2019_13,2019,TPS_ADR_EXC,35-39,2,93,13,3110,70690,4.404,2,3,52
2_2019_13,2019,TPS_ADR_EXC,45-49,2,93,13,5490,72430,7.585,2,3,52
9_2019_13,2019,TPS_ADR_EXC,45-49,9,93,13,8190,140110,5.842,2,3,52
1_2019_13,2019,TPS_ADR_EXC,50-54,1,93,13,3190,67530,4.73,2,3,52
2_2019_13,2019,TPS_ADR_EXC,55-59,2,93,13,7290,69460,10.496,2,3,52
9_2019_13,2019,TPS_ADR_EXC,60-64,9,93,13,9750,121530,8.021,2,3,52
