sexe_annee_dpt,annee,top,cla_age_5,sexe,dept,Npop,prev
2_2015_03,2015,,35-39,2,03,8670,5.503
9_2015_03,2015,,35-39,9,03,16540,4.215
1_2015_03,2015,,40-44,1,03,9550,3.457
2_2015_03,2015,,40-44,2,03,10210,6.985
9_2015_03,2015,,40-44,9,03,19750,5.28
1_2015_03,2015,,45-49,1,03,10390,4.349
2_2015_03,2015,,45-49,2,03,10730,8.302
9_2015_03,2015,,45-49,9,03,21130,6.357
1_2015_03,2015,,50-54,1,03,10610,4.564
2_2015_03,2015,,50-54,2,03,11300,9.805
9_2015_03,2015,,50-54,9,03,21910,7.268
1_2015_03,2015,,55-59,1,03,10620,5.329
2_2015_03,2015,,55-59,2,03,11600,10.2
9_2015_03,2015,,55-59,9,03,22220,7.871
1_2015_03,2015,,60-64,1,03,11030,4.578
2_2015_03,2015,,60-64,2,03,12230,10.445
9_2015_03,2015,,60-64,9,03,23260,7.663
1_2015_03,2015,,65-69,1,03,11440,5.176
2_2015_03,2015,,65-69,2,03,12540,10.551
9_2015_03,2015,,65-69,9,03,23980,7.987
1_2015_03,2015,,70-74,1,03,7460,6.262
2_2015_03,2015,,70-74,2,03,8730,11.359
9_2015_03,2015,,70-74,9,03,16190,9.011
1_2015_03,2015,,75-79,1,03,6510,7.292
2_2015_03,2015,,75-79,2,03,8350,12.331
9_2015_03,2015,,75-79,9,03,14870,10.123
1_2015_03,2015,,80-84,1,03,5500,8.658
2_2015_03,2015,,80-84,2,03,8470,13.444
9_2015_03,2015,,80-84,9,03,13970,11.56
1_2015_03,2015,,85-89,1,03,3480,10.98
2_2015_03,2015,,85-89,2,03,6650,15.835
9_2015_03,2015,,85-89,9,03,10130,14.167
1_2015_03,2015,,90-94,1,03,1530,12.214
2_2015_03,2015,,90-94,2,03,3730,15.696
9_2015_03,2015,,90-94,9,03,5260,14.682
1_2015_03,2015,,95et+,1,03,290,11.847
2_2015_03,2015,,95et+,2,03,1030,14.732
9_2015_03,2015,,95et+,9,03,1310,14.101
1_2015_03,2015,,tsage,1,03,152960,3.593
2_2015_03,2015,,tsage,2,03,171350,7.324
9_2015_03,2015,,tsage,9,03,324310,5.564
1_2015_04,2015,,00-04,1,04,3940,0
2_2015_04,2015,,00-04,2,04,3680,0
9_2015_04,2015,,00-04,9,04,7620,0
1_2015_04,2015,,05-09,1,04,4240,0
2_2015_04,2015,,05-09,2,04,4010,0
9_2015_04,2015,,05-09,9,04,8250,0
1_2015_04,2015,,10-14,1,04,4490,0
2_2015_04,2015,,10-14,2,04,4170,0
9_2015_04,2015,,10-14,9,04,8650,0
1_2015_04,2015,,15-19,1,04,4410,0
2_2015_04,2015,,15-19,2,04,4330,0.3
9_2015_04,2015,,15-19,9,04,8740,0.183
1_2015_04,2015,,20-24,1,04,3700,0.513
2_2015_04,2015,,20-24,2,04,3680,0.788
9_2015_04,2015,,20-24,9,04,7380,0.65
1_2015_04,2015,,25-29,1,04,3700,0.783
2_2015_04,2015,,25-29,2,04,4000,1.95
9_2015_04,2015,,25-29,9,04,7700,1.389
1_2015_04,2015,,30-34,1,04,3680,1.25
2_2015_04,2015,,30-34,2,04,4290,2.684
9_2015_04,2015,,30-34,9,04,7970,2.021
1_2015_04,2015,,35-39,1,04,3790,2.323
2_2015_04,2015,,35-39,2,04,4330,3.975
9_2015_04,2015,,35-39,9,04,8120,3.204
1_2015_04,2015,,40-44,1,04,4380,2.673
2_2015_04,2015,,40-44,2,04,4950,5.536
9_2015_04,2015,,40-44,9,04,9330,4.193
1_2015_04,2015,,45-49,1,04,5090,3.439
2_2015_04,2015,,45-49,2,04,5560,5.968
9_2015_04,2015,,45-49,9,04,10650,4.76
1_2015_04,2015,,50-54,1,04,5330,3.638
2_2015_04,2015,,50-54,2,04,5920,7.687
9_2015_04,2015,,50-54,9,04,11250,5.768
1_2015_04,2015,,55-59,1,04,5310,4.611
2_2015_04,2015,,55-59,2,04,5650,8.985
9_2015_04,2015,,55-59,9,04,10970,6.866
1_2015_04,2015,,60-64,1,04,5270,4.326
2_2015_04,2015,,60-64,2,04,5390,8.335
9_2015_04,2015,,60-64,9,04,10660,6.352
1_2015_04,2015,,65-69,1,04,5310,3.878
2_2015_04,2015,,65-69,2,04,5820,8.439
9_2015_04,2015,,65-69,9,04,11130,6.262
1_2015_04,2015,,70-74,1,04,3850,4.466
2_2015_04,2015,,70-74,2,04,4270,9.291
9_2015_04,2015,,70-74,9,04,8120,7.004
1_2015_04,2015,,75-79,1,04,3130,5.392
2_2015_04,2015,,75-79,2,04,3610,11.151
9_2015_04,2015,,75-79,9,04,6750,8.477
1_2015_04,2015,,80-84,1,04,2450,6.618
2_2015_04,2015,,80-84,2,04,3260,12.803
9_2015_04,2015,,80-84,9,04,5710,10.149
1_2015_04,2015,,85-89,1,04,1440,9.009
2_2015_04,2015,,85-89,2,04,2530,14.241
9_2015_04,2015,,85-89,9,04,3970,12.339
1_2015_04,2015,,90-94,1,04,580,9.605
2_2015_04,2015,,90-94,2,04,1490,14.199
9_2015_04,2015,,90-94,9,04,2070,12.905
1_2015_04,2015,,95et+,1,04,140,12.593
2_2015_04,2015,,95et+,2,04,470,15.401
9_2015_04,2015,,95et+,9,04,610,14.778
1_2015_04,2015,,tsage,1,04,74230,2.774
2_2015_04,2015,,tsage,2,04,81400,5.871
9_2015_04,2015,,tsage,9,04,155630,4.394
1_2015_05,2015,,00-04,1,05,3440,0
2_2015_05,2015,,00-04,2,05,3250,0
9_2015_05,2015,,00-04,9,05,6690,0
1_2015_05,2015,,05-09,1,05,3740,0
2_2015_05,2015,,05-09,2,05,3490,0
9_2015_05,2015,,05-09,9,05,7230,0
1_2015_05,2015,,10-14,1,05,3750,0
2_2015_05,2015,,10-14,2,05,3700,0
9_2015_05,2015,,10-14,9,05,7450,0
1_2015_05,2015,,15-19,1,05,3530,0.312
2_2015_05,2015,,15-19,2,05,3640,0.495
9_2015_05,2015,,15-19,9,05,7170,0.405
1_2015_05,2015,,20-24,1,05,3090,0.55
2_2015_05,2015,,20-24,2,05,3210,0.84
9_2015_05,2015,,20-24,9,05,6310,0.698
1_2015_05,2015,,25-29,1,05,3320,0.783
2_2015_05,2015,,25-29,2,05,3570,1.623
9_2015_05,2015,,25-29,9,05,6890,1.218
1_2015_05,2015,,30-34,1,05,3560,1.658
2_2015_05,2015,,30-34,2,05,3950,2.634
9_2015_05,2015,,30-34,9,05,7510,2.171
1_2015_05,2015,,35-39,1,05,3570,1.906
2_2015_05,2015,,35-39,2,05,4030,3.399
9_2015_05,2015,,35-39,9,05,7600,2.698
1_2015_05,2015,,40-44,1,05,4100,2.586
2_2015_05,2015,,40-44,2,05,4480,4.579
9_2015_05,2015,,40-44,9,05,8580,3.626
1_2015_05,2015,,45-49,1,05,4500,3.001
2_2015_05,2015,,45-49,2,05,4620,6.542
9_2015_05,2015,,45-49,9,05,9110,4.795
1_2015_05,2015,,50-54,1,05,4500,3.532
2_2015_05,2015,,50-54,2,05,4910,6.354
9_2015_05,2015,,50-54,9,05,9410,5.004
1_2015_05,2015,,55-59,1,05,4490,3.83
2_2015_05,2015,,55-59,2,05,4700,8.023
9_2015_05,2015,,55-59,9,05,9190,5.974
1_2015_05,2015,,60-64,1,05,4340,3.985
2_2015_05,2015,,60-64,2,05,4680,7.719
9_2015_05,2015,,60-64,9,05,9020,5.921
1_2015_05,2015,,65-69,1,05,4380,3.832
2_2015_05,2015,,65-69,2,05,4610,7.143
9_2015_05,2015,,65-69,9,05,8990,5.528
1_2015_05,2015,,70-74,1,05,2960,3.858
2_2015_05,2015,,70-74,2,05,3200,7.228
9_2015_05,2015,,70-74,9,05,6150,5.609
1_2015_05,2015,,75-79,1,05,2340,4.998
2_2015_05,2015,,75-79,2,05,2830,7.977
9_2015_05,2015,,75-79,9,05,5170,6.629
1_2015_05,2015,,80-84,1,05,1950,6.157
2_2015_05,2015,,80-84,2,05,2590,9.618
9_2015_05,2015,,80-84,9,05,4540,8.131
1_2015_05,2015,,85-89,1,05,1200,7.232
2_2015_05,2015,,85-89,2,05,2010,10.962
9_2015_05,2015,,85-89,9,05,3210,9.564
1_2015_05,2015,,90-94,1,05,510,10.413
2_2015_05,2015,,90-94,2,05,1230,11.175
9_2015_05,2015,,90-94,9,05,1740,10.951
1_2015_05,2015,,95et+,1,05,100,11.881
2_2015_05,2015,,95et+,2,05,390,9.231
9_2015_05,2015,,95et+,9,05,490,9.776
1_2015_05,2015,,tsage,1,05,63360,2.527
2_2015_05,2015,,tsage,2,05,69080,4.822
9_2015_05,2015,,tsage,9,05,132440,3.724
1_2015_06,2015,,00-04,1,06,28630,0
2_2015_06,2015,,00-04,2,06,26910,0
9_2015_06,2015,,00-04,9,06,55540,0
1_2015_06,2015,,05-09,1,06,28590,0
2_2015_06,2015,,05-09,2,06,27270,0
9_2015_06,2015,,05-09,9,06,55860,0.021
1_2015_06,2015,,10-14,1,06,27520,0.051
2_2015_06,2015,,10-14,2,06,26230,0.053
9_2015_06,2015,,10-14,9,06,53750,0.052
1_2015_06,2015,,15-19,1,06,27170,0.328
2_2015_06,2015,,15-19,2,06,26630,0.473
9_2015_06,2015,,15-19,9,06,53800,0.4
1_2015_06,2015,,20-24,1,06,25210,0.686
2_2015_06,2015,,20-24,2,06,27790,1.115
9_2015_06,2015,,20-24,9,06,53000,0.911
1_2015_06,2015,,25-29,1,06,28210,1.099
2_2015_06,2015,,25-29,2,06,32810,1.853
9_2015_06,2015,,25-29,9,06,61030,1.504
1_2015_06,2015,,30-34,1,06,30030,1.808
2_2015_06,2015,,30-34,2,06,33870,3.009
9_2015_06,2015,,30-34,9,06,63900,2.445
1_2015_06,2015,,35-39,1,06,30210,2.456
2_2015_06,2015,,35-39,2,06,33870,4.68
9_2015_06,2015,,35-39,9,06,64070,3.632
1_2015_06,2015,,40-44,1,06,32460,3.029
2_2015_06,2015,,40-44,2,06,35960,6.605
9_2015_06,2015,,40-44,9,06,68410,4.908
1_2015_06,2015,,45-49,1,06,34610,4.08
2_2015_06,2015,,45-49,2,06,38410,8.107
9_2015_06,2015,,45-49,9,06,73020,6.199
1_2015_06,2015,,50-54,1,06,35230,4.542
2_2015_06,2015,,50-54,2,06,39450,9.265
9_2015_06,2015,,50-54,9,06,74680,7.037
1_2015_06,2015,,55-59,1,06,32440,5.181
2_2015_06,2015,,55-59,2,06,35850,10.099
9_2015_06,2015,,55-59,9,06,68300,7.763
1_2015_06,2015,,60-64,1,06,30590,4.91
2_2015_06,2015,,60-64,2,06,34910,10.058
9_2015_06,2015,,60-64,9,06,65500,7.654
1_2015_06,2015,,65-69,1,06,31880,4.495
2_2015_06,2015,,65-69,2,06,36780,9.74
9_2015_06,2015,,65-69,9,06,68650,7.305
1_2015_06,2015,,70-74,1,06,24480,5.139
2_2015_06,2015,,70-74,2,06,28780,10.013
9_2015_06,2015,,70-74,9,06,53260,7.773
1_2015_06,2015,,75-79,1,06,19950,6.155
2_2015_06,2015,,75-79,2,06,24980,11.431
9_2015_06,2015,,75-79,9,06,44930,9.088
1_2015_06,2015,,80-84,1,06,16170,8.144
2_2015_06,2015,,80-84,2,06,23420,13.183
9_2015_06,2015,,80-84,9,06,39600,11.125
1_2015_06,2015,,85-89,1,06,10510,9.94
2_2015_06,2015,,85-89,2,06,19000,15.268
9_2015_06,2015,,85-89,9,06,29510,13.37
1_2015_06,2015,,90-94,1,06,4490,11.809
2_2015_06,2015,,90-94,2,06,11310,17.767
